sample	stromal	immune	estimate
TCGA-OL-A5D8-01	1970.42530893922	2124.27624791151	4094.70155685072
TCGA-A8-A08S-01	2136.38178479116	1763.66754970437	3900.04933449552
TCGA-A8-A09K-01	864.179232380094	2586.31210234579	3450.49133472588
TCGA-BH-A0DI-01	4789.11951829844	3322.13051572172	8111.25003402017
TCGA-A2-A0T6-01	5011.93597303578	3824.8865420617	8836.82251509748
TCGA-A2-A25B-01	3229.73338243077	2564.88470628638	5794.61808871715
TCGA-E2-A1BC-11	3535.00851118151	1850.59433666466	5385.60284784617
TCGA-A2-A0SV-01	3465.69026667325	3512.4105409987	6978.10080767195
TCGA-BH-A18G-01	2186.53465264888	2135.72705347291	4322.26170612179
TCGA-BH-A0DG-11	2900.78047926213	2003.89480650643	4904.67528576857
TCGA-AN-A0XR-01	1536.46721748824	798.025508646995	2334.49272613524
TCGA-A8-A0AB-01	1691.98981448449	77.9088598643034	1769.89867434879
TCGA-AO-A1KO-01	2721.14788239147	1421.40182770061	4142.54971009208
TCGA-A2-A0CU-01	2519.57280526897	1179.06052355045	3698.63332881942
TCGA-BH-A0B7-11	2327.81401237496	1469.28669980899	3797.10071218395
TCGA-BH-A1ET-11	3966.32047904426	2191.64806778633	6157.96854683059
TCGA-A2-A1FZ-01	4079.47168590559	2900.00193434407	6979.47362024966
TCGA-BH-A0B8-11	4792.45983861033	2390.02652972384	7182.48636833417
TCGA-BH-A1FC-01	1882.52012036071	4005.62224918532	5888.14236954603
TCGA-E2-A14W-01	984.41668435722	117.96382102255	1102.38050537977
TCGA-LL-A441-01	2871.02240516417	5208.91286083417	8079.93526599834
TCGA-PL-A8LX-01	1310.61799416962	1926.21876792256	3236.83676209218
TCGA-XX-A89A-01	5151.19622593249	4343.14203984012	9494.33826577261
TCGA-BH-A8FZ-01	4105.74245666481	4392.92473880379	8498.66719546861
TCGA-E9-A5UO-01	-338.055851868493	-94.7785726248659	-432.834424493359
TCGA-E2-A15I-11	4023.62228590296	1670.52758325945	5694.14986916242
TCGA-E2-A573-01	2000.25974312307	4607.91230044795	6608.17204357101
TCGA-D8-A146-01	4022.53599938551	2504.31455816395	6526.85055754945
TCGA-AO-A124-01	639.343685510182	1751.44967018222	2390.7933556924
TCGA-BH-A18L-11	4394.6690085716	2286.30195006523	6680.97095863683
TCGA-AR-A24Z-01	1889.56397455177	1570.01560795128	3459.57958250305
TCGA-A8-A075-01	3127.6073467618	3173.87319603192	6301.48054279372
TCGA-A8-A08A-01	3023.56634398311	2784.81282144568	5808.3791654288
TCGA-AQ-A0Y5-01	3956.87210982048	2022.06199533522	5978.9341051557
TCGA-B6-A0I9-01	1491.16625984026	1967.78929672924	3458.9555565695
TCGA-BH-A0DZ-11	2258.44301527277	1866.59873455563	4125.04174982839
TCGA-E9-A1N5-11	3560.35462073218	1714.97666090927	5275.33128164144
TCGA-BH-A28O-01	3969.48193856694	2289.65251497786	6259.1344535448
TCGA-AR-A0TX-01	3769.34374025712	4397.90420631963	8167.24794657675
TCGA-D8-A3Z6-01	2851.27208543747	1468.41583619138	4319.68792162885
TCGA-A8-A093-01	3038.5674652521	782.559965875967	3821.12743112807
TCGA-A8-A07C-01	2285.33583529643	2852.63946865334	5137.97530394977
